"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"25/01/2025";"0600";"21,2";"94,0";"929,7";"3,6";"60,0";"7,5";"";"";"";""
"25/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"25/01/2025";"1200";"25,7";"74,0";"931,0";"1,5";"70,0";"7,5";"";"";"20,4";"23,0"
"25/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"25/01/2025";"1800";"32,6";"44,0";"927,6";"5,7";"290,0";"7,5";"";"";"";""
"25/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"26/01/2025";"0000";"22,1";"87,0";"929,6";"3,6";"70,0";"10,0";"";"30,2";"";""
"26/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"26/01/2025";"0600";"22,2";"88,0";"929,1";"1,5";"320,0";"8,8";"";"";"";""
"26/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"26/01/2025";"1200";"24,8";"69,0";"929,9";"4,1";"20,0";"8,8";"";"";"21,0";"7,0"
"26/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"26/01/2025";"1800";"22,0";"94,0";"929,1";"2,6";"130,0";"10,0";"";"";"";""
"26/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"27/01/2025";"0000";"21,1";"96,0";"929,9";"2,6";"70,0";"10,0";"";"26,7";"";""
"27/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"27/01/2025";"0600";"20,6";"97,0";"929,4";"0,5";"220,0";"8,8";"";"";"";""
"27/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"27/01/2025";"1200";"22,5";"84,0";"930,1";"0,0";"0,0";"8,8";"";"";"20,2";"24,0"
"27/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"27/01/2025";"1800";"26,7";"67,0";"928,4";"1,5";"230,0";"8,8";"";"";"";""
"27/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"28/01/2025";"0000";"21,0";"91,0";"929,6";"2,6";"90,0";"10,0";"";"28,4";"";""
"28/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"28/01/2025";"0600";"18,8";"98,0";"928,6";"0,0";"0,0";"0,0";"";"";"";""
"28/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"28/01/2025";"1200";"22,6";"86,0";"930,0";"1,0";"150,0";"7,5";"";"";"18,5";"8,0"
"28/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"28/01/2025";"1800";"22,7";"91,0";"927,8";"4,6";"60,0";"8,8";"";"";"";""
"28/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"0000";"21,6";"96,0";"929,1";"0,5";"200,0";"6,3";"";"26,8";"";""
"29/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"0600";"21,5";"96,0";"927,8";"1,5";"130,0";"10,0";"";"";"";""
"29/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"1200";"23,5";"84,0";"928,8";"2,6";"90,0";"8,8";"";"";"21,5";"5,0"
"29/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"1800";"22,2";"93,0";"927,6";"1,5";"230,0";"10,0";"";"";"";""
"29/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"30/01/2025";"0000";"21,8";"91,0";"927,9";"4,6";"80,0";"10,0";"";"25,3";"";""
"30/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"30/01/2025";"0600";"21,2";"94,0";"926,9";"0,5";"80,0";"8,8";"";"";"";""
"30/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"30/01/2025";"1200";"22,3";"91,0";"927,9";"1,0";"110,0";"10,0";"";"";"20,7";"5,0"
"30/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"30/01/2025";"1800";"21,9";"89,0";"926,4";"7,2";"320,0";"10,0";"";"";"";""
"30/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"31/01/2025";"0000";"21,1";"97,0";"926,8";"1,0";"90,0";"10,0";"";"26,8";"";""
"31/01/2025";"0300";"";"";"";"";"";"";"";"";"";""
"31/01/2025";"0600";"21,2";"95,0";"925,9";"1,0";"240,0";"8,8";"";"";"";""
"31/01/2025";"0900";"";"";"";"";"";"";"";"";"";""
"31/01/2025";"1200";"23,3";"83,0";"926,8";"3,6";"10,0";"10,0";"";"";"20,8";"18,0"
"31/01/2025";"1500";"";"";"";"";"";"";"";"";"";""
"31/01/2025";"1800";"26,1";"66,0";"925,1";"4,6";"10,0";"8,8";"";"";"";""
"31/01/2025";"2100";"";"";"";"";"";"";"";"";"";""
"01/02/2025";"0000";"23,6";"86,0";"926,0";"2,1";"90,0";"10,0";"";"26,3";"";""
"01/02/2025";"0300";"";"";"";"";"";"";"";"";"";""
"01/02/2025";"0600";"19,3";"96,0";"925,9";"3,1";"330,0";"10,0";"";"";"";""
"01/02/2025";"0900";"";"";"";"";"";"";"";"";"";""
